,keyword,counts,relwords
12,absolute,12,absolute
15,absorber,9,absorption
16,absorption,18,absorption
19,ac,20,ac
23,accelerated,11,acceleration
32,accumulation,6,accumulation
34,accuracy,8,accuracy
36,acid,7,acid
42,active,67,active
55,adaptive,50,adaptive
67,adoption,20,adoption
70,advanced,13,advanced
78,aerial,8,aerial
82,aerosol,10,aerosol
92,agent,6,agent
95,aggregation,8,aggregation
98,aging,11,aging
101,agreement,6,agreement
103,agriculture,6,agriculture
107,ahead,10,ahead
111,air,56,air
129,algorithm,275,algorithm
136,allocation,8,allocation
145,alternative,7,alternative
152,ambient,7,ambient
160,amorphous,10,amorphous
166,analog,9,analog
170,analysis,292,analysis
174,analytical,19,analysis
175,analytics,9,analysis
185,angle,32,angle
192,annealing,6,annealing
194,annual,12,annual
217,application,25,application
221,approach,24,approach
223,approximation,8,approximation
240,architecture,10,architecture
242,arduino,7,arduino
243,area,18,area
253,array,96,array
262,artificial,50,artificial
278,assessment,59,assessment
305,atmospheric,14,atmospheric
328,automated,6,automated
329,automatic,10,automatic
330,automation,7,automation
331,automaton,6,automaton
332,autonomous,9,autonomous
335,autoregressive,20,autoregressive
340,average,20,average
341,averaged,7,averaged
342,averaging,8,averaging
349,axis,8,axis
352,back,19,back
356,backstepping,6,backstepping
366,balance,15,balance
368,balancing,13,balancing
371,band,9,band
372,bandgap,6,bandgap
375,bank,6,bank
382,base,14,base
384,based,41,based
389,basis,16,basis
394,battery,173,battery
398,bayesian,10,bayesian
403,beam,6,beam
406,bee,11,bee
407,behavior,12,behavior
409,behaviour,7,behaviour
419,benefit,6,benefit
425,beta,7,beta
431,bidding,6,bidding
432,bidirectional,25,bidirectional
433,bifacial,18,bifacial
434,bifurcation,7,bifurcation
436,big,10,big
460,biomass,7,biomass
465,bipolar,6,bipolar
469,black,7,black
491,bond,7,bond
495,boosting,7,boosting
502,boundary,13,boundary
505,box,9,box
521,bridge,8,bridge
535,buck,24,buck
540,building,152,building
549,bus,13,bus
550,business,15,business
553,by,6,by
554,bypass,11,bypass
562,calculation,17,calculation
566,calibration,8,calibration
570,camera,8,camera
586,capacitance,6,capacitance
589,capacitor,19,capacitor
591,capacity,74,capacity
597,carbon,31,carbon
600,carlo,20,carlo
602,carrier,13,carrier
604,cascade,11,cascade
605,cascaded,22,cascaded
606,case,7,case
621,cdte,7,cdte
626,cell,248,cell
631,cells,9,cell
634,cellular,7,cellular
639,central,9,central
657,chain,15,chain
662,change,27,change
666,channel,8,channel
668,chaotic,10,chaotic
672,characteristic,80,characteristic
674,characterization,20,characterization
677,charge,40,charge
680,charger,6,charger
681,charging,45,charging
704,chopper,8,chopper
714,circuit,75,circuit
719,circulation,6,circulation
730,city,10,city
733,clamped,6,clamped
739,classification,26,classification
742,clean,9,clean
744,cleaning,8,cleaning
747,clear,9,clear
749,clearness,6,clearness
750,climate,47,climate
751,climatic,6,climatic
758,cloud,41,cloud
762,cluster,16,cluster
763,clustering,30,clustering
775,coating,9,coating
778,code,8,code
781,coefficient,33,coefficient
789,cold,6,cold
794,collection,6,collection
795,collector,81,collector
797,colony,10,colony
803,combination,8,combination
804,combined,32,combined
809,comfort,6,comfort
814,commercial,11,commercial
816,commitment,11,commitment
817,common,12,common
820,communication,17,communication
821,community,19,community
828,comparison,8,comparison
831,compensation,19,compensation
832,compensator,15,compensator
842,complex,13,complex
845,component,26,component
846,components,6,component
847,composite,9,composite
849,compound,8,compound
854,computation,7,computation
855,computational,21,computational
856,computer,13,computer
857,computing,17,computing
860,concentrated,24,concentrated
861,concentrating,23,concentrating
862,concentration,22,concentration
863,concentrator,33,concentrator
865,concept,7,concept
871,condition,65,condition
872,conditional,7,conditional
874,conditioning,8,conditioning
875,conductance,38,conductance
877,conduction,9,conduction
885,configuration,36,configuration
893,connected,32,connected
894,connection,7,connection
901,constant,19,constant
902,constrained,8,constrained
903,constraint,14,constraint
907,consumer,11,consumer
909,consumption,39,consumption
911,contact,11,contact
925,continuous,14,continuous
934,control,465,control
940,controlled,11,controlled
941,controller,132,controller
946,convection,17,convection
953,conversion,58,conversion
954,converter,367,converter
960,convolutional,10,convolutional
964,cooling,63,cooling
967,cooperative,8,cooperative
969,coordinated,10,coordinated
971,coordination,10,coordination
975,copula,8,copula
980,correction,16,correction
983,correlation,27,correlation
993,cost,97,cost
1005,coupled,19,coupled
1006,coupling,23,coupling
1011,cover,8,cover
1030,critical,9,critical
1044,crystal,6,crystal
1045,crystalline,13,crystalline
1061,cuckoo,7,cuckoo
1062,cuk,13,cuk
1070,current,119,current
1073,curtailment,12,curtailment
1076,curve,63,curve
1099,cycle,50,cycle
1104,cyclone,15,cyclone
1114,daily,16,daily
1121,damping,9,damping
1125,data,136,data
1126,database,8,database
1134,day,25,day
1141,dc/ac,7,dc/ac
1142,dc/dc,28,dc/dc
1159,decentralized,15,decentralized
1161,decision,34,decision
1162,decomposition,27,decomposition
1165,decoupling,10,decoupling
1167,deep,30,deep
1180,degradation,36,degradation
1184,delay,8,delay
1189,demand,94,demand
1195,density,32,density
1196,dependence,9,dependence
1202,deposition,10,deposition
1212,desalination,12,desalination
1217,desert,8,desert
1219,design,98,design
1228,detection,37,detection
1237,development,11,development
1238,deviation,6,deviation
1239,device,53,device
1250,diagnosis,16,diagnosis
1253,diagram,9,diagram
1269,diesel,15,diesel
1271,difference,8,difference
1274,differential,20,differential
1277,diffuse,16,diffuse
1279,diffusion,20,diffusion
1284,digital,17,digital
1288,digsilent,7,digsilent
1297,diode,76,diode
1303,direct,47,direct
1310,discharge,7,discharge
1315,discrete,16,discrete
1318,dish,7,dish
1323,dispatch,43,dispatch
1325,dispatching,9,dispatching
1336,distance,6,distance
1341,distortion,17,distortion
1342,distributed,168,distributed
1343,distribution,167,distribution
1346,district,14,district
1347,disturbance,12,disturbance
1363,domain,10,domain
1364,domestic,14,domestic
1371,double,22,double
1386,drift,8,drift
1390,drive,14,drive
1391,driven,6,driven
1398,droop,15,droop
1405,drying,7,drying
1413,dual,21,dual
1422,dust,22,dust
1423,duty,7,duty
1427,dye,7,dye
1430,dynamic,161,dynamic
1431,dynamical,6,dynamical
1432,dynamics,9,dynamic
1440,earth,10,earth
1454,economic,55,economic
1457,economics,9,economics
1469,effect,66,effect
1470,effective,6,effective
1475,efficiency,104,efficiency
1477,efficient,9,efficient
1492,electric,99,electric
1493,electrical,87,electrical
1494,electricity,108,electricity
1495,electrification,10,electrification
1507,electrolysis,13,electrolysis
1510,electrolyzer,9,electrolyzer
1513,electromagnetic,17,electromagnetic
1518,electronic,23,electronic
1520,electronics,14,electronics
1524,element,20,element
1541,elman,7,elman
1544,embedded,9,embedded
1551,emission,28,emission
1552,emissions,6,emission
1557,empirical,13,empirical
1566,emulation,6,emulation
1567,emulator,7,emulator
1575,energetic,7,energetic
1578,energy,915,energy
1584,engine,14,engine
1585,engineering,20,engineering
1589,enhanced,13,enhanced
1590,enhancement,8,enhancement
1596,ensemble,40,ensemble
1602,entropy,7,entropy
1606,environment,19,environment
1607,environmental,25,environmental
1621,equation,31,equation
1628,equivalent,47,equivalent
1632,error,63,error
1640,estimation,79,estimation
1659,evaluation,31,evaluation
1665,event,6,event
1666,evolution,16,evolution
1667,evolutionary,16,evolutionary
1672,exchange,10,exchange
1673,exchanger,13,exchanger
1680,exergy,13,exergy
1683,exogenous,10,exogenous
1684,expansion,13,expansion
1686,expected,6,expected
1690,experiment,11,experiment
1691,experimental,31,experimental
1702,exponential,7,exponential
1705,expression,6,expression
1708,external,7,external
1712,extraction,25,extraction
1716,extreme,20,extreme
1725,facade,16,facade
1729,factor,93,factor
1733,failure,24,failure
1739,farm,17,farm
1742,fast,13,fast
1744,fault,79,fault
1745,faults,9,fault
1750,feasibility,11,feasibility
1752,feature,19,feature
1758,feedback,16,feedback
1759,feeder,8,feeder
1778,field,36,field
1782,fill,8,fill
1785,film,27,film
1786,filter,54,filter
1790,fin,7,fin
1793,financial,8,financial
1797,finite,34,finite
1802,firefly,10,firefly
1811,fit,8,fit
1815,fitting,12,fitting
1818,fixed,6,fixed
1823,flash,9,flash
1824,flat,8,flat
1828,flexibility,17,flexibility
1829,flexible,24,flexible
1832,floating,8,floating
1836,flooding,7,flooding
1837,flow,123,flow
1838,flower,7,flower
1841,fluctuation,17,fluctuation
1844,fluid,15,fluid
1849,flux,11,flux
1851,flyback,6,flyback
1867,for,20,for
1869,force,6,force
1873,forecast,110,forecast
1874,forecasting,155,forecasting
1876,forest,14,forest
1884,formulation,6,formulation
1885,forward,7,forward
1890,fourier,10,fourier
1895,fraction,9,fraction
1896,fractional,15,fractional
1898,frame,14,frame
1899,framework,9,framework
1900,free,11,free
1903,frequency,71,frequency
1923,fuel,43,fuel
1930,function,77,function
1931,functional,9,functional
1934,fusion,7,fusion
1935,future,9,future
1938,fuzzy,106,fuzzy
1947,gain,21,gain
1954,game,10,game
1958,gap,8,gap
1960,gas,22,gas
1971,gaussian,13,gaussian
1979,general,12,general
1981,generalized,12,generalized
1985,generation,254,generation
1989,generator,109,generator
1994,genetic,19,genetic
1996,geographic,11,geographic
1997,geographical,6,geographical
2019,glass,8,glass
2023,global,53,global
2045,gradient,15,gradient
2048,graph,11,graph
2059,gray,6,gray
2063,green,30,green
2064,greenhouse,20,greenhouse
2067,grey,26,grey
2068,grid,242,grid
2075,ground,9,ground
2079,group,7,group
2080,growth,9,growth
2108,hardware,7,hardware
2110,harmonic,53,harmonic
2112,harmonics,9,harmonic
2119,harvester,7,harvester
2120,harvesting,16,harvesting
2125,hazard,6,hazard
2133,health,8,health
2136,heat,121,heat
2138,heater,8,heater
2140,heating,41,heating
2165,heterojunction,7,heterojunction
2168,heuristic,8,heuristic
2175,hierarchical,11,hierarchical
2177,high,71,high
2202,home,36,home
2205,homer,10,homer
2212,horizon,7,horizon
2213,horizontal,20,horizontal
2216,hosting,8,hosting
2217,hot,8,hot
2220,hour,6,hour
2221,hourly,8,hourly
2222,house,8,house
2223,household,17,household
2232,hub,7,hub
2243,hybrid,272,hybrid
2250,hydro,13,hydro
2254,hydrogen,38,hydrogen
2261,hydropower,7,hydropower
2268,hysteresis,6,hysteresis
2284,identification,24,identification
2286,iec,6,iec
2302,image,22,image
2306,imaging,9,imaging
2307,imbalance,12,imbalance
2313,impact,29,impact
2315,impedance,26,impedance
2328,improved,23,improved
2334,in,35,in
2351,incremental,41,incremental
2355,index,40,index
2358,indian,9,indian
2359,indicator,10,indicator
2363,individual,8,individual
2366,indoor,16,indoor
2367,induced,8,induced
2368,inductance,6,inductance
2369,induction,23,induction
2371,inductor,17,inductor
2372,industrial,12,industrial
2373,industry,6,industry
2377,inertia,9,inertia
2381,inference,17,inference
2384,influence,6,influence
2388,information,40,information
2389,infrared,6,infrared
2391,infrastructure,9,infrastructure
2400,injection,14,injection
2406,innovation,13,innovation
2409,input,24,input
2412,insolation,10,insolation
2414,instability,10,instability
2415,installation,19,installation
2422,insulation,6,insulation
2424,integer,20,integer
2425,integral,8,integral
2427,integrated,84,integrated
2429,integration,68,integration
2434,intelligence,12,intelligence
2435,intelligent,20,intelligent
2437,intensity,12,intensity
2440,interaction,16,interaction
2441,interactive,7,interactive
2448,interconnection,12,interconnection
2450,interface,15,interface
2456,interior,6,interior
2458,interleaved,20,interleaved
2464,intermittent,7,intermittent
2465,internal,7,internal
2468,internet,8,internet
2471,interpolation,9,interpolation
2476,interval,37,interval
2488,inverse,6,inverse
2491,inverter,277,inverter
2497,investment,13,investment
2515,irradiance,102,irradiance
2518,irradiation,36,irradiation
2528,island,13,island
2529,islanded,11,islanded
2531,islanding,6,islanding
2532,ism:,7,ism:
2533,isolated,15,isolated
2544,iterative,7,iterative
2556,jet,6,jet
2561,joint,11,joint
2568,junction,12,junction
2573,kalman,12,kalman
2584,kernel,15,kernel
2588,kinetic,6,kinetic
2628,land,6,land
2632,language,9,language
2634,large,7,large
2635,laser,7,laser
2638,latent,6,latent
2644,layer,15,layer
2662,lead,9,lead
2666,leakage,6,leakage
2672,learning,86,learning
2676,least,25,least
2677,led,8,led
2685,level,34,level
2688,levelized,11,levelized
2697,life,29,life
2699,lifetime,20,lifetime
2700,lift,6,lift
2701,light,30,light
2704,lighting,11,lighting
2709,likelihood,6,likelihood
2716,line,16,line
2717,linear,70,linear
2720,linearization,6,linearization
2723,link,6,link
2729,liquid,7,liquid
2745,load,240,load
2748,loading,8,loading
2752,local,27,local
2756,location,10,location
2759,locked,6,locked
2764,logic,32,logic
2766,logistic,8,logistic
2768,long,19,long
2770,loop,24,loop
2772,loss,91,loss
2773,losses,7,loss
2776,low,52,low
2777,lower,6,lower
2789,lv,7,lv
2792,lyapunov,10,lyapunov
2796,machine,81,machine
2805,magnet,10,magnet
2806,magnetic,19,magnetic
2813,maintenance,13,maintenance
2816,making,11,making
2825,management,149,management
2830,mantle,9,mantle
2836,manufacturing,8,manufacturing
2837,map,10,map
2838,mapping,12,mapping
2841,margin,10,margin
2846,market,49,market
2848,markov,22,markov
2853,mass,7,mass
2860,matching,14,matching
2861,material,43,material
2862,materials,8,material
2865,mathematical,26,mathematical
2869,matlab,27,matlab
2871,matlab/simulink,16,matlab/simulink
2875,matrix,15,matrix
2876,matter,7,matter
2882,maximum,121,maximum
2888,mean,32,mean
2891,measure,6,measure
2893,measurement,64,measurement
2897,mechanical,10,mechanical
2899,mechanism,15,mechanism
2908,medium,10,medium
2917,membrane,7,membrane
2920,memory,16,memory
2931,mesoscale,7,mesoscale
2937,metaheuristic,6,metaheuristic
2939,metal,11,metal
2945,meteorological,27,meteorological
2946,meteorology,7,meteorology
2949,metering,10,metering
2955,methanol,8,methanol
2956,method,232,method
2958,methodology,12,methodology
2972,micro,39,micro
2986,microgrid,89,microgrid
2987,microgrids,17,microgrids
2988,microinverter,7,microinverter
3022,minimization,7,minimization
3023,minimum,6,minimum
3024,mining,13,mining
3031,mirror,6,mirror
3036,mismatch,16,mismatch
3039,mismatching,7,mismatching
3042,mission,6,mission
3044,mitigation,13,mitigation
3046,mix,8,mix
3047,mixed,24,mixed
3061,mobile,7,mobile
3062,mobility,6,mobility
3066,mode,73,mode
3068,model,849,model
3070,modeling,476,modeling
3075,modelling,208,modelling
3076,models,12,model
3080,modified,27,modified
3081,modular,7,modular
3084,modulation,31,modulation
3087,module,173,module
3089,modules,8,module
3097,molecular,9,molecular
3107,monitoring,37,monitoring
3110,monocrystalline,6,monocrystalline
3115,monsoon,6,monsoon
3117,monte,20,monte
3130,motion,9,motion
3131,motor,35,motor
3138,moving,10,moving
3151,multi,16,multi
3166,multijunction,9,multijunction
3167,multilayer,8,multilayer
3169,multilevel,32,multilevel
3173,multiobjective,7,multiobjective
3176,multiphysics,6,multiphysics
3178,multiple,36,multiple
3193,multivariate,9,multivariate
3197,mutual,9,mutual
3212,nanofluid,6,nanofluid
3237,national,10,national
3238,natural,18,natural
3242,nearly,7,nearly
3245,negative,6,negative
3247,neighbor,9,neighbor
3256,net,35,net
3258,network,316,network
3261,neural,140,neural
3270,neutral,15,neutral
3272,new,18,new
3275,newton,6,newton
3276,nexus,6,nexus
3299,node,6,node
3301,noise,11,noise
3309,nonlinear,42,nonlinear
3319,normal,7,normal
3342,number,7,number
3344,numerical,46,numerical
3350,o,7,o
3353,objective,7,objective
3357,observation,24,observation
3359,observe,37,observe
3360,observer,6,observer
3366,ocean,6,ocean
3373,of,327,of
3374,off,7,off
3376,office,6,office
3382,oil,8,oil
3386,on,14,on
3387,one,8,one
3388,online,18,online
3396,open,19,open
3403,operating,20,operating
3404,operation,72,operation
3406,operational,12,operational
3416,optical,32,optical
3418,optimal,88,optimal
3421,optimisation,17,optimisation
3423,optimization,235,optimization
3427,optimizer,10,optimizer
3429,optimum,15,optimum
3440,order,12,order
3443,organic,27,organic
3447,orientation,8,orientation
3464,outdoor,16,outdoor
3469,output,75,output
3488,oxide,11,oxide
3494,p,8,p
3514,panel,91,panel
3518,parabolic,20,parabolic
3522,parallel,19,parallel
3526,parameter,98,parameter
3528,parameters,21,parameter
3530,parametric,13,parametric
3540,partial,42,partial
3541,partially,10,partially
3543,particle,48,particle
3552,passive,15,passive
3554,path,6,path
3558,pattern,19,pattern
3572,peak,27,peak
3586,penetration,27,penetration
3592,perceptron,11,perceptron
3596,performance,126,performance
3599,period,6,period
3602,permanent,10,permanent
3607,perovskite,12,perovskite
3608,perovskites,6,perovskites
3615,perturb,39,perturb
3617,perturbation,15,perturbation
3628,phase,66,phase
3630,phasor,9,phasor
3636,photo,24,photo
3666,photovoltaic,726,photovoltaic
3671,photovoltaic/thermal,26,photovoltaic/thermal
3676,photovoltaics,62,photovoltaics
3692,physical,18,physical
3694,pid,11,pid
3709,placement,6,placement
3710,plan,7,plan
3712,plane,6,plane
3718,planning,58,planning
3719,plant,121,plant
3724,plate,14,plate
3726,platform,10,platform
3747,point,123,point
3753,polarization,6,polarization
3755,policy,30,policy
3759,pollination,8,pollination
3765,polycrystalline,11,polycrystalline
3770,polynomial,13,polynomial
3783,position,6,position
3789,potential,36,potential
3791,power,1103,power
3804,prediction,252,prediction
3806,predictive,64,predictive
3818,present,6,present
3819,pressure,11,pressure
3822,price,22,price
3823,pricing,15,pricing
3824,primary,11,primary
3825,principal,10,principal
3838,probabilistic,50,probabilistic
3839,probability,39,probability
3841,problem,17,problem
3843,process,60,process
3844,processing,23,processing
3849,product,13,product
3850,production,57,production
3852,profile,32,profile
3857,program,15,program
3860,programming,68,programming
3865,propagation,10,propagation
3867,property,14,property
3869,proportional,20,proportional
3877,prosumer,6,prosumer
3878,prosumers,6,prosumers
3880,protection,29,protection
3902,pspice,8,pspice
3915,pulse,23,pulse
3918,pump,42,pump
3919,pumped,10,pumped
3920,pumping,33,pumping
3976,quadratic,20,quadratic
3981,quality,34,quality
3990,quantum,19,quantum
3992,quasi,12,quasi
4008,radial,25,radial
4011,radiation,84,radiation
4012,radiative,10,radiative
4027,ramp,10,ramp
4029,random,21,random
4039,rate,52,rate
4044,ratio,36,ratio
4048,ray,7,ray
4063,reactive,40,reactive
4065,real,21,real
4077,receiver,13,receiver
4083,recognition,8,recognition
4084,recombination,8,recombination
4087,reconfiguration,13,reconfiguration
4091,recovery,13,recovery
4095,recurrent,14,recurrent
4102,reduction,37,reduction
4107,reference,12,reference
4114,reflector,11,reflector
4126,region,14,region
4127,regional,15,regional
4129,regression,83,regression
4136,regulation,29,regulation
4137,regulator,14,regulator
4139,reinforcement,9,reinforcement
4144,relative,12,relative
4151,reliability,51,reliability
4159,remote,14,remote
4162,renewable,182,renewable
4163,renewables,8,renewables
4177,reserve,18,reserve
4180,residential,55,residential
4181,residual,11,residual
4186,resistance,27,resistance
4190,resolution,9,resolution
4193,resonance,11,resonance
4195,resonant,19,resonant
4197,resource,54,resource
4200,response,49,response
4207,restoration,7,restoration
4215,retail,6,retail
4221,retrofit,8,retrofit
4229,reverse,17,reverse
4247,ripple,14,ripple
4249,risk,22,risk
4264,robust,25,robust
4265,robustness,6,robustness
4268,roof,15,roof
4269,rooftop,26,rooftop
4271,root,13,root
4304,rural,10,rural
4312,safety,7,safety
4313,sag,6,sag
4327,sampling,6,sampling
4337,satellite,15,satellite
4341,saving,14,saving
4350,scale,20,scale
4352,scaling,6,scaling
4359,scenario,28,scenario
4362,schedule,6,schedule
4363,scheduling,48,scheduling
4364,scheme,22,scheme
4369,science,10,science
4380,search,46,search
4383,seasonal,7,seasonal
4387,secondary,14,secondary
4391,sector,7,sector
4393,security,8,security
4404,selection,20,selection
4410,self,6,self
4417,semiconductor,20,semiconductor
4422,sensing,9,sensing
4424,sensitivity,18,sensitivity
4426,sensor,26,sensor
4427,sensorless,6,sensorless
4434,sequence,8,sequence
4435,sequential,14,sequential
4438,series,52,series
4440,service,22,service
4443,set,17,set
4453,shaded,16,shaded
4454,shading,46,shading
4455,shadow,13,shadow
4467,sharing,10,sharing
4477,shift,7,shift
4481,ship,7,ship
4486,short,32,short
4489,shunt,12,shunt
4492,si,6,si
4495,side,17,side
4499,signal,24,signal
4503,silicon,53,silicon
4509,similar,12,similar
4512,simple,6,simple
4515,simplified,13,simplified
4523,simulation,209,simulation
4526,simulator,28,simulator
4528,simulink,18,simulink
4532,single,43,single
4535,sink,6,sink
4539,site,17,site
4545,size,13,size
4546,sizing,45,sizing
4549,sky,24,sky
4555,sliding,18,sliding
4566,small,27,small
4567,smart,83,smart
4574,smoothing,18,smoothing
4587,social,9,social
4592,soft,8,soft
4594,software,34,software
4599,soiling,7,soiling
4602,solar,852,solar
4609,solid,16,solid
4628,source,116,source
4633,space,33,space
4642,spatial,20,spatial
4653,spectral,31,spectral
4659,spectroscopy,12,spectroscopy
4660,spectrum,8,spectrum
4663,speed,25,speed
4683,square,30,square
4685,squares,8,square
4698,stability,62,stability
4704,stage,6,stage
4708,standalone,20,standalone
4709,standard,13,standard
4715,stars:,11,stars:
4722,state,57,state
4727,static,26,static
4728,station,49,station
4730,stationary,9,stationary
4733,statistical,23,statistical
4741,steady,7,steady
4742,steam,10,steam
4750,step,23,step
4763,stochastic,58,stochastic
4768,storage,214,storage
4779,strategy,73,strategy
4791,stress,19,stress
4794,string,7,string
4796,structural,10,structural
4797,structure,23,structure
4801,study,40,study
4836,sun,16,sun
4840,sunshine,7,sunshine
4843,super,8,super
4861,supply,47,supply
4862,support,45,support
4866,surface,39,surface
4877,sustainability,6,sustainability
4878,sustainable,21,sustainable
4883,swarm,43,swarm
4889,switch,7,switch
4890,switched,14,switched
4893,switching,24,switching
4903,synchronization,8,synchronization
4904,synchronous,27,synchronous
4914,system,1164,system
4919,systems,35,system
4923,table,7,table
4930,tandem,12,tandem
4932,tank,10,tank
4933,tap,6,tap
4934,target,7,target
4935,tariff,20,tariff
4945,technical,7,technical
4947,technique,62,technique
4954,technology,69,technology
4962,temperature,112,temperature
4966,term,28,term
4972,test,39,test
4974,testing,29,testing
4982,the,51,the
4986,theoretical,9,theoretical
4987,theory,47,theory
4988,thermal,190,thermal
4993,thermochemical,6,thermochemical
4995,thermodynamic,11,thermodynamic
4999,thermoelectric,27,thermoelectric
5011,thin,24,thin
5019,three,20,three
5029,tied,7,tied
5031,tilt,12,tilt
5032,tilted,7,tilted
5035,time,84,time
5052,to,24,to
5058,tool,18,tool
5065,topology,20,topology
5069,total,25,total
5086,tracker,21,tracker
5088,tracking,96,tracking
5092,trade,8,trade
5094,trading,9,trading
5098,training,10,training
5101,trajectory,6,trajectory
5107,transfer,40,transfer
5110,transform,13,transform
5111,transformation,7,transformation
5112,transformer,33,transformer
5113,transformerless,11,transformerless
5115,transient,40,transient
5119,transition,12,transition
5123,transmission,31,transmission
5124,transmittance,7,transmittance
5128,transport,18,transport
5134,treatment,7,treatment
5135,tree,22,tree
5153,tropical,12,tropical
5158,trough,10,trough
5169,tube,9,tube
5181,turbine,37,turbine
5188,two,13,two
5189,type,16,type
5192,typical,7,typical
5206,unbalance,8,unbalance
5207,unbalanced,25,unbalanced
5211,uncertainty,49,uncertainty
5215,under,7,under
5221,unified,7,unified
5228,unit,57,unit
5237,unmanned,7,unmanned
5256,urban,41,urban
5260,use,13,use
5263,user,9,user
5268,utility,12,utility
5269,utilization,8,utilization
5281,validation,20,validation
5284,value,28,value
5289,variability,24,variability
5290,variable,55,variable
5293,variation,24,variation
5299,vector,57,vector
5304,vegetation,7,vegetation
5305,vehicle,67,vehicle
5310,velocity,11,velocity
5313,ventilation,15,ventilation
5316,verification,11,verification
5322,very,7,very
5334,view,8,view
5340,virtual,31,virtual
5358,voltage,255,voltage
5362,voltaic,25,voltaic
5364,volume,6,volume
5365,volumetric,7,volumetric
5366,vortex,16,vortex
5368,vorticity,8,vorticity
5382,wall,14,wall
5388,waste,8,waste
5391,water,90,water
5395,wave,29,wave
5399,wavelet,27,wavelet
5410,weather,52,weather
5415,weight,8,weight
5416,weighted,9,weighted
5434,width,21,width
5440,wind,138,wind
5447,window,6,window
5453,wireless,17,wireless
5455,with,31,with
5457,wolf,7,wolf
5480,year,7,year
5482,yield,21,yield
5490,zero,24,zero
5497,zip,8,zip
